state,candy,calories,fat(G),sugar(G)
Alabama , AirHeads,45,1.3,6
Alaska , Snickers,80,4,8.5
Arizona , Toblerone,90,5,10
Arkansas , Skittles,80,0.8,14.5
California , Lifesavers,45,0,9
Colorado , Milky Way,80,3,10
Connecticut , Reese's Peanut Butter Cups,110,6.5,10.5
Delaware , 3 Musketeers,63,2,10
Florida , Nestlé Crunch Bar,60,3,7
Georgia , Pixy Stix,60,0,15
Hawaii , 100 Grand Bar,95,4,11
Idaho , Butterfinger,85,4,10
Illinois , Snickers,80,4,8.5
Indiana , Reese's Pieces,67,2.7,7.3
Iowa , Twix,80,7,8.5
Kansas , Twizzlers,60,2.5,7
Kentucky , Whoppers,100,4,13
Louisiana , Swedish Fish,50,0,11
Maine , Starburst,50,0,13
Maryland , Almond Joy,80,4.5,8
Massachusetts , Starburst,50,0,13
Michigan , M&M's,73,4,11.5
Minnesota , 100 Grand Bar,95,4,11
Mississippi , Hershey's Kisses,25,0.9,2.3
Missouri , Hershey's Kisses,25,0.9,2.3
Montana , Kit Kat Bar,70,3,7
Nebraska , Skittles,80,0.8,14.5
Nevada , Jolly Ranchers,70,0,11
New Hampshire , Tootsie Rolls,50,0.2,8
New Jersey , Sour Patch Kids,50,0,10
New Mexico , 3 Musketeers,63,2,10
New York , Sweet Tarts,10,0,2.4
North Carolina , Butterfinger,85,4,10
North Dakota , Sour Patch Kids,50,0,10
Ohio , Milky Way,80,3,10
Oklahoma , M&M's,73,4,11.5
Oregon , Candy corn,75,0,16.5
Pennsylvania , Swedish Fish,50,0,11
Rhode Island , Reese's Peanut Butter Cups,110,6.5,10.5
South Carolina , Candy corn,75,0,16.5
South Dakota , Laffy Taffy,31,0.3,5.4
Tennessee , Candy corn,75,0,16.5
Texas , Candy corn,75,0,16.5
Utah , Nerds,50,0,12
Vermont , Almond Joy,80,4.5,8
Virginia , Reese's Pieces,67,2.7,7.3
Washington , AirHeads,45,1.3,6
West Virginia , Oreos,100,3.5,7
Wisconsin , Laffy Taffy,31,0.3,5.4
Wyoming , Candy corn,75,0,16.5
