state,candy
Alabama , AirHeads
Alaska , Snickers
Arizona , Toblerone
Arkansas , Skittles
California , Lifesavers
Colorado , Milky Way
Connecticut , Reese's Peanut Butter Cups
Delaware , 3 Musketeers
District of Columbia , Twix
Florida , Nestlé Crunch Bar
Georgia , Pixy Stix
Hawaii , 100 Grand Bar
Idaho , Butterfinger
Illinois , Snickers
Indiana , Reese's Pieces
Iowa , Twix
Kansas , Twizzlers
Kentucky , Whoppers
Louisiana , Swedish Fish
Maine , Starburst
Maryland , Almond Joy
Massachusetts , Starburst
Michigan , M&M's
Minnesota , 100 Grand Bar
Mississippi , Hershey's Kisses
Missouri , Hershey's Kisses
Montana , Kit Kat Bar
Nebraska , Skittles
Nevada , Jolly Ranchers
New Hampshire , Tootsie Rolls
New Jersey , Sour Patch Kids
New Mexico , 3 Musketeers
New York , Sweet Tarts
North Carolina , Butterfinger
North Dakota , Sour Patch Kids
Ohio , Milky Way
Oklahoma , M&M's
Oregon , Candy corn
Pennsylvania , Swedish Fish
Rhode Island , Reese's Peanut Butter Cups
South Carolina , Candy corn
South Dakota , Laffy Taffy
Tennessee , Candy corn
Texas , Candy corn
Utah , Nerds
Vermont , Almond Joy
Virginia , Reese's Pieces
Washington , AirHeads
West Virginia , Oreos
Wisconsin , Laffy Taffy
Wyoming , Candy corn
